CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
788771733,0,49,0,4,3,2,2,0,30,5,3,3,1579.0,900,679.0,0.592,4354,70,0.707,0.57
713722608,1,48,1,2,6,0,4,0,35,3,1,4,2806.0,2514,292.0,0.341,1757,35,0.4,0.896
719202708,0,54,1,3,3,1,4,0,36,2,2,1,5642.0,541,5101.0,0.742,4633,84,0.68,0.096
788811558,0,52,1,1,3,1,4,0,35,1,3,3,1959.0,1022,937.0,0.78,7847,65,0.857,0.522
714141108,0,52,1,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133
785311158,0,54,1,2,2,2,4,0,48,6,1,4,6610.0,928,5682.0,0.894,3328,69,0.683,0.14
720777558,0,46,1,4,2,2,4,0,38,6,2,2,2671.0,1713,958.0,0.732,4519,79,0.795,0.641
802460433,1,57,1,3,3,1,5,0,51,2,5,2,1438.3,0,1438.3,0.733,2607,37,0.609,0.0
714384783,1,59,1,1,2,1,4,0,36,2,3,3,2468.0,0,2468.0,0.5,2017,37,0.762,0.0
771865908,1,48,1,2,2,2,5,0,37,4,2,3,11750.0,487,11263.0,0.772,2532,48,0.548,0.041
710319108,0,54,1,2,3,1,4,0,47,4,2,3,1804.0,1298,506.0,0.758,4542,73,0.921,0.72
710526633,0,47,0,2,6,2,2,0,34,3,3,2,2048.0,1599,449.0,0.613,4855,88,0.872,0.781
716104983,0,41,1,2,2,2,4,0,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941
708103608,0,52,0,1,3,2,2,0,45,1,5,1,11898.0,2517,9381.0,0.745,15798,128,0.73,0.212
779118708,0,50,1,2,6,2,4,0,32,4,3,1,1438.3,0,1438.3,0.815,4598,78,0.902,0.0
816756783,0,42,0,2,3,3,1,0,37,6,2,3,2993.0,2249,744.0,0.863,4106,81,0.528,0.751
779888658,0,56,0,1,5,1,3,0,40,6,1,1,17450.0,2193,15257.0,0.419,1426,38,0.462,0.126
711967158,0,35,1,3,2,2,4,0,23,6,3,1,2211.0,1370,841.0,0.781,4359,79,0.927,0.62
817686633,0,26,1,1,0,2,4,0,15,5,2,4,1438.3,737,701.3,0.806,2856,39,0.5,0.512
816328308,0,60,1,0,2,1,4,0,55,2,1,3,3773.0,0,3773.0,0.684,14264,118,0.873,0.0
799717458,0,42,1,3,6,1,4,0,36,2,3,3,2515.0,1453,1062.0,0.649,4025,74,0.805,0.578
719248158,0,52,0,2,3,0,2,0,42,1,3,2,7261.0,1443,5818.0,0.972,14533,108,0.565,0.199
716075208,0,32,1,3,3,1,4,0,22,4,2,4,4561.0,2029,2532.0,0.768,1874,38,0.52,0.445
717060858,1,31,0,0,2,1,4,0,36,3,2,3,6911.0,2517,4394.0,0.934,8123,71,0.732,0.364
711148308,0,52,0,3,2,2,2,0,46,4,2,2,9357.0,1285,8072.0,0.694,4173,77,0.711,0.137
767197983,0,52,1,2,3,2,4,0,45,1,1,1,4209.0,0,4209.0,0.856,5938,83,0.694,0.0
708927108,1,53,0,2,2,1,0,0,36,1,3,2,12778.0,507,12271.0,0.967,1133,28,0.4,0.04
789698733,0,40,1,4,5,1,4,0,27,5,3,1,4788.0,1088,3700.0,0.808,4438,78,0.95,0.227
709861008,0,47,0,4,4,1,3,0,30,3,3,1,27720.0,2414,25306.0,0.752,8520,89,0.589,0.087
714138408,0,49,0,3,3,1,2,0,39,4,1,4,9264.0,629,8635.0,0.659,4107,79,0.58,0.068
709991883,1,53,0,1,2,1,3,0,42,2,1,2,6214.0,1147,5067.0,0.861,938,35,0.75,0.185
713876958,0,32,1,0,6,2,5,0,26,6,2,4,14140.0,845,13295.0,0.715,5036,76,0.689,0.06
708575058,1,46,1,3,5,0,1,0,39,2,3,2,3157.0,965,2192.0,0.928,3300,58,0.568,0.306
710032608,0,52,1,1,2,2,4,0,32,3,1,3,5927.0,2320,3607.0,0.544,1558,46,0.643,0.391
712024908,0,56,1,1,0,1,4,0,36,6,2,3,2641.0,1257,1384.0,0.891,1439,39,1.053,0.476
721084833,0,48,0,5,3,1,1,3,34,5,0,2,17657.0,2018,15639.0,0.55,1682,39,0.95,0.114
716966808,0,47,0,1,2,1,3,0,37,6,3,3,11722.0,1667,10055.0,0.566,1497,35,0.25,0.142
716331408,1,52,1,4,6,1,4,0,36,1,4,5,2143.0,0,2143.0,0.853,1353,36,0.333,0.0
819169683,0,34,0,2,6,1,1,0,29,3,2,2,3436.0,1650,1786.0,0.788,1972,37,0.947,0.48
717551358,0,63,0,0,2,1,2,0,55,4,1,4,3556.0,2517,1039.0,0.983,2279,56,0.6,0.708
709955958,0,41,1,1,3,2,4,0,33,4,2,0,8054.0,1023,7031.0,0.75,3374,45,0.875,0.127
817029108,0,47,1,4,4,2,1,0,27,4,6,3,6885.0,1611,5274.0,0.955,3804,67,0.861,0.234
708765933,0,46,0,2,4,1,2,0,36,3,2,2,5464.0,887,4577.0,0.554,4866,81,0.62,0.162
820637433,0,45,1,3,3,1,4,0,40,5,2,3,1603.0,0,1603.0,0.467,4041,66,0.571,0.0
709718058,0,52,1,4,5,2,4,0,36,5,1,4,2936.0,2181,755.0,0.478,4650,78,0.625,0.743
721325133,0,45,0,2,0,1,3,0,36,6,1,3,31625.0,0,31625.0,0.559,4503,77,0.674,0.0
713081583,0,51,1,4,6,1,4,0,32,2,2,3,2350.0,1272,1078.0,0.873,4647,86,0.911,0.541
712967508,0,47,0,3,1,3,2,0,36,4,1,2,2572.0,1093,1479.0,0.615,5038,86,0.83,0.425
708473133,0,55,1,1,2,1,4,0,45,4,2,3,1677.0,0,1677.0,0.824,4588,68,0.7,0.0
715629783,0,51,0,1,2,1,1,3,36,6,2,2,17905.0,980,16925.0,0.731,4399,64,0.778,0.055
719613783,0,51,1,1,1,1,4,0,42,3,2,2,1438.3,0,1438.3,0.872,4211,64,0.778,0.0
713017758,0,47,1,1,5,2,4,0,32,6,2,2,1636.0,1135,501.0,0.754,5056,85,0.809,0.694
716260833,1,56,1,5,6,2,4,0,36,6,3,5,4668.0,2517,2151.0,1.062,8331,63,0.853,0.539
708386958,1,47,1,3,6,1,4,0,34,3,3,2,1561.0,0,1561.0,0.502,1947,28,0.556,0.0
716758908,0,46,0,3,5,2,0,0,27,4,2,3,34516.0,2213,32303.0,0.584,4492,71,0.821,0.064
717211608,0,45,1,3,6,2,4,0,34,6,4,2,4975.0,1221,3754.0,0.602,4776,68,0.889,0.245
709581483,1,40,1,4,1,1,4,0,21,1,2,1,2984.0,2517,467.0,0.574,2373,53,0.359,0.843
721399833,0,43,1,2,3,1,1,0,34,3,1,3,2032.0,1008,1024.0,0.879,4736,86,0.83,0.496
708403308,0,37,0,3,6,2,1,3,24,3,1,3,15133.0,1663,13470.0,0.646,4392,68,0.511,0.11
718775808,0,42,1,3,6,1,5,0,31,3,1,4,7762.0,1319,6443.0,0.793,5153,77,0.75,0.17
780557658,0,63,1,0,5,1,5,0,54,5,3,2,11827.0,0,11827.0,0.921,1395,37,0.609,0.0
712623258,1,42,1,3,2,1,4,0,36,2,3,3,5505.0,2517,2988.0,0.729,2272,42,0.448,0.457
719859033,1,32,0,3,2,1,1,0,20,2,2,2,3264.0,0,3264.0,0.549,6439,63,0.75,0.0
708139833,1,40,0,3,2,3,2,0,30,4,2,3,6391.0,0,6391.0,0.632,2323,44,0.419,0.0
715754133,0,42,1,3,2,2,4,0,32,2,2,3,3391.0,1359,2032.0,0.662,13212,107,0.646,0.401
716938383,0,41,0,4,6,1,3,0,28,3,2,3,34516.0,0,34516.0,0.743,3811,61,0.743,0.0
715351983,0,32,1,2,6,1,4,0,20,1,3,2,9761.0,1470,8291.0,0.796,14334,97,0.732,0.151
710560008,0,46,1,4,3,1,4,0,33,1,3,0,1896.0,1738,158.0,0.647,4588,75,0.923,0.917
718170033,0,42,1,4,5,1,5,0,23,4,1,2,8348.0,0,8348.0,0.695,15905,111,0.708,0.0
716225433,0,60,0,1,5,2,3,0,51,6,3,4,26566.0,2517,24049.0,0.985,3103,65,0.625,0.095
712367658,0,58,0,1,5,2,3,0,40,1,3,0,22104.0,1783,20321.0,0.805,13830,112,0.806,0.081
720706008,0,30,0,2,4,2,1,0,16,5,3,5,4533.0,1977,2556.0,0.664,2679,69,0.605,0.436
772390908,1,59,0,0,3,2,1,0,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291
789319458,0,48,0,5,5,2,2,0,38,6,2,3,22639.0,1481,21158.0,0.703,4219,65,0.477,0.065
715616358,0,53,1,0,2,1,5,0,36,5,4,3,5843.0,1162,4681.0,0.765,4405,67,0.811,0.199
771584658,0,46,1,4,6,2,5,3,34,1,2,3,33874.0,1473,32401.0,0.803,13753,98,0.849,0.043
720963258,1,52,1,3,0,1,4,0,40,3,2,3,3474.0,0,3474.0,0.735,2675,37,0.48,0.0
709902108,0,51,0,2,3,1,3,0,40,4,3,2,8169.0,794,7375.0,0.665,4927,70,0.944,0.097
710544033,0,47,0,2,6,1,3,0,36,3,1,3,9437.0,2024,7413.0,0.664,4715,78,0.696,0.214
720724008,0,43,0,2,2,2,3,0,36,4,1,4,13430.0,2356,11074.0,0.718,3717,67,0.675,0.175
719473458,0,46,0,3,3,2,1,0,42,3,2,1,8285.0,1359,6926.0,0.634,7205,84,0.826,0.164
709363383,0,34,0,2,3,2,5,0,36,3,4,2,22886.0,836,22050.0,0.889,2652,61,0.743,0.037
711728208,0,46,0,4,2,2,0,0,34,4,1,2,34516.0,0,34516.0,0.991,4143,68,0.659,0.0
714337233,1,43,1,2,2,1,4,3,25,6,2,4,10388.0,1961,8427.0,0.703,10294,61,0.649,0.189
709722858,0,50,0,1,2,1,2,0,37,2,2,2,20708.0,1357,19351.0,0.852,8503,88,0.571,0.066
715679733,0,43,1,2,5,2,4,0,36,5,2,4,1736.0,1513,223.0,0.829,3462,67,0.558,0.872
709253433,0,50,1,2,5,1,1,0,41,2,1,2,10946.0,1912,9034.0,0.362,2448,58,0.45,0.175
772145658,0,43,0,4,5,2,3,0,32,4,1,3,16043.0,2036,14007.0,0.7,1394,28,0.75,0.127
817293258,0,44,1,4,0,1,1,0,27,1,1,2,3183.0,2517,666.0,0.726,4017,63,0.853,0.791
826069983,0,46,1,4,2,2,5,0,42,4,0,3,13376.0,1633,11743.0,0.98,4515,63,1.172,0.122
720712533,0,51,0,3,2,1,3,1,36,2,1,3,34516.0,761,33755.0,0.716,7499,88,0.571,0.022
720748608,1,44,0,3,2,0,1,0,32,1,2,2,3575.0,0,3575.0,0.843,7672,66,0.737,0.0
816325533,0,39,1,1,2,1,4,0,34,6,3,5,6458.0,1802,4656.0,0.923,2315,49,0.581,0.279
711240108,0,41,0,2,2,1,2,0,31,3,2,2,13116.0,1225,11891.0,0.735,4800,61,0.605,0.093
719971458,0,49,0,5,2,2,3,0,41,2,3,2,5275.0,1490,3785.0,0.533,4213,74,1.114,0.282
716027208,0,47,0,4,1,1,2,0,36,4,1,1,19665.0,706,18959.0,1.317,1110,58,0.349,0.036
754599558,0,40,1,3,0,2,4,0,33,5,3,1,7207.0,2002,5205.0,0.828,3825,70,0.707,0.278
708895158,0,46,0,2,6,1,3,0,34,3,3,3,2925.0,2365,560.0,0.691,1371,30,0.579,0.809
716493408,0,45,1,4,5,0,5,0,36,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108
779707308,0,35,1,1,2,1,4,0,18,5,1,2,7583.0,1619,5964.0,1.468,2229,53,1.208,0.214
712802733,0,45,1,4,3,0,4,0,36,3,1,4,5486.0,685,4801.0,0.879,2965,70,0.556,0.125
780584658,1,33,1,2,5,3,1,0,22,4,2,2,1843.0,1293,550.0,0.349,2077,61,0.694,0.702
788386908,0,48,0,3,2,3,3,2,41,3,2,2,34516.0,1531,32985.0,0.862,1156,29,1.071,0.044
711751533,0,47,1,4,2,1,4,0,37,3,1,3,2447.0,1973,474.0,0.476,4784,75,0.562,0.806
812627208,0,60,1,0,0,2,4,0,55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571,0.513
748827033,0,44,0,3,2,0,2,0,37,5,2,3,3290.0,0,3290.0,0.841,4780,84,0.615,0.0
708723858,0,48,1,4,2,2,4,0,37,1,1,3,3413.0,1715,1698.0,0.812,3843,67,0.634,0.502
716782758,1,48,0,3,2,2,2,0,42,3,2,4,19075.0,0,19075.0,0.807,2013,32,0.455,0.0
710951808,0,32,0,1,6,1,4,0,36,5,3,3,6100.0,1520,4580.0,0.853,1668,32,0.882,0.249
719930658,0,40,0,4,5,1,0,0,24,4,2,2,16634.0,1946,14688.0,0.926,3455,72,1.0,0.117
718476033,0,65,1,0,5,2,5,0,56,5,3,5,20130.0,2355,17775.0,0.716,2444,49,0.633,0.117
716558283,0,30,1,0,2,1,4,0,36,2,2,2,1621.0,1046,575.0,0.729,5247,84,0.615,0.645
716581983,0,56,1,0,0,1,1,0,36,5,2,3,4384.0,929,3455.0,0.678,4792,91,0.75,0.212
803231058,0,53,0,3,3,2,4,0,47,5,1,1,3351.0,1474,1877.0,0.393,4294,66,0.737,0.44
716996583,0,50,0,3,3,0,0,0,37,3,1,2,3073.0,1792,1281.0,1.099,1734,35,1.188,0.583
711913833,0,37,0,3,2,1,1,0,36,4,2,4,8818.0,1437,7381.0,0.649,1865,31,0.938,0.163
815515158,0,49,1,2,6,2,1,0,44,6,1,3,2147.0,1402,745.0,0.612,4240,69,0.683,0.653
770743983,0,34,1,3,5,2,1,0,20,1,2,3,8698.0,874,7824.0,0.708,15683,94,0.709,0.1
716939358,0,43,1,3,2,0,5,0,33,6,3,4,14622.0,0,14622.0,0.959,4632,67,0.457,0.0
711062958,0,43,0,3,2,2,0,0,23,5,2,2,4121.0,2084,2037.0,0.807,3462,49,1.042,0.506
713852958,0,51,1,2,2,2,5,3,41,5,3,3,31501.0,1810,29691.0,0.71,3893,81,0.62,0.057
708145908,0,61,1,0,2,1,1,0,50,3,3,0,4906.0,2185,2721.0,0.66,3999,71,1.088,0.445
719291283,0,36,1,4,3,2,4,0,28,5,1,2,2226.0,1607,619.0,0.656,2660,62,1.0,0.722
714365883,0,51,1,4,5,3,4,0,40,3,3,4,7093.0,918,6175.0,0.56,3877,75,0.744,0.129
713983308,0,60,0,0,4,1,2,0,49,5,1,4,3182.0,1928,1254.0,0.509,1233,35,0.4,0.606
715603233,0,53,1,3,5,1,1,0,42,6,1,2,2293.0,1460,833.0,0.658,4436,74,0.542,0.637
714211533,0,31,0,0,2,0,4,0,36,4,3,2,3312.0,2491,821.0,0.62,2670,50,0.667,0.752
770024733,1,53,1,2,5,2,1,0,47,1,2,3,1699.0,0,1699.0,0.602,2520,49,0.531,0.0
714765408,0,26,1,1,6,2,4,0,36,4,3,3,2557.0,1990,567.0,0.575,2266,57,0.357,0.778
718163808,0,37,0,1,2,2,3,0,24,6,3,4,11309.0,0,11309.0,0.474,4809,71,0.479,0.0
715492983,0,40,0,3,4,1,0,0,36,4,2,4,7464.0,2517,4947.0,0.9,4348,62,0.879,0.337
739692933,0,46,1,2,6,2,1,0,29,4,2,4,3126.0,2517,609.0,1.235,1638,41,0.519,0.805
771224358,0,54,1,4,6,1,4,0,41,3,1,3,2028.0,0,2028.0,0.823,4030,78,0.733,0.0
823519458,0,44,1,3,2,1,4,0,40,1,1,3,6441.0,2151,4290.0,0.64,7123,94,0.492,0.334
714100008,1,47,1,2,0,1,4,0,36,6,2,3,5667.0,2517,3150.0,0.684,2176,38,0.267,0.444
709546608,0,37,1,2,5,1,4,0,36,6,5,4,1438.3,647,791.3,0.889,4803,64,0.684,0.45
757247808,1,42,1,3,2,1,4,0,35,2,4,3,5230.0,2517,2713.0,0.937,9495,61,0.605,0.481
795991758,0,47,1,3,6,1,1,0,41,5,3,3,7553.0,660,6893.0,0.549,4079,67,0.457,0.087
779509983,0,53,0,2,4,2,0,0,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027
779210283,0,36,0,3,5,1,1,0,25,6,2,4,3645.0,2517,1128.0,0.749,4142,74,0.644,0.691
772162683,1,34,1,2,2,1,4,0,23,6,2,2,3116.0,0,3116.0,0.698,2768,45,0.667,0.0
778436283,0,41,0,4,3,2,4,0,21,2,3,1,3429.0,1504,1925.0,0.601,4015,76,1.0,0.439
710628783,0,38,0,4,3,2,3,1,36,6,1,3,34516.0,1140,33376.0,0.815,1445,45,0.957,0.033
715650783,0,41,0,2,3,1,2,0,36,6,2,2,4499.0,0,4499.0,0.765,4906,75,0.667,0.0
793842558,0,39,1,3,1,1,4,0,33,6,4,2,2001.0,1430,571.0,0.555,4509,69,0.683,0.715
820694133,1,60,1,0,3,1,5,0,55,4,1,3,5549.0,0,5549.0,0.703,2412,38,0.52,0.0
814760358,0,53,0,3,2,3,1,0,48,2,2,2,14627.0,1997,12630.0,0.718,7766,82,0.745,0.137
720801033,0,51,1,1,3,1,5,0,36,3,2,3,9095.0,2517,6578.0,0.37,1347,27,0.421,0.277
709120008,0,43,0,2,3,2,2,0,36,4,3,2,6976.0,0,6976.0,0.519,1217,39,1.438,0.0
711456108,1,46,1,4,6,1,1,0,39,5,3,3,1438.3,819,619.3,0.786,2488,44,0.692,0.569
734909358,0,43,0,4,2,2,3,0,33,4,1,1,6548.0,1244,5304.0,0.667,4354,79,0.927,0.19
808675083,0,61,0,1,2,2,5,0,56,5,3,2,4235.0,1675,2560.0,1.079,3862,76,0.949,0.396
721210158,0,29,0,2,0,1,1,0,17,3,1,3,4626.0,1232,3394.0,0.731,14740,102,0.759,0.266
807986133,0,57,0,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276
713923233,0,46,0,3,3,1,3,0,36,6,3,3,2790.0,2185,605.0,0.671,3392,86,0.755,0.783
751166508,0,57,0,3,4,2,3,0,50,3,1,1,34516.0,2293,32223.0,0.799,14287,114,0.754,0.066
779906658,0,40,0,4,1,2,5,0,24,3,2,4,18806.0,1192,17614.0,0.745,3142,62,0.824,0.063
718762308,0,35,1,1,2,2,5,0,36,6,2,3,6622.0,2126,4496.0,1.041,3668,60,0.818,0.321
766649283,0,49,1,3,2,0,5,0,42,2,2,3,14072.0,1917,12155.0,0.653,13432,107,0.981,0.136
713785608,0,49,1,1,1,2,4,0,40,1,2,3,2960.0,0,2960.0,0.962,4918,63,0.75,0.0
788826408,0,33,0,1,5,1,0,0,16,6,1,3,10705.0,1352,9353.0,1.171,2434,58,0.812,0.126
715599633,0,51,0,1,0,1,3,3,38,2,3,2,34516.0,0,34516.0,0.678,7686,89,0.618,0.0
796931508,1,42,0,4,3,3,2,0,36,4,3,4,1871.0,0,1871.0,0.73,2593,48,0.548,0.0
821157183,0,42,1,5,6,1,4,0,37,5,2,3,2541.0,1398,1143.0,0.635,4698,88,0.833,0.55
721378008,0,31,0,0,5,0,1,0,21,6,2,2,2621.0,1461,1160.0,0.775,2718,71,0.775,0.557
805453908,0,33,0,1,3,0,1,0,28,6,1,3,2507.0,1592,915.0,0.691,4355,79,0.837,0.635
772271508,1,46,1,3,5,2,5,0,35,2,3,3,1706.0,0,1706.0,0.726,2320,42,0.448,0.0
714111333,0,55,0,1,3,1,2,0,46,6,1,3,5381.0,0,5381.0,0.746,1910,38,1.0,0.0
716977758,1,44,1,3,5,1,4,0,36,2,3,1,3675.0,2517,1158.0,0.766,1913,35,0.667,0.685
827635083,0,59,1,0,2,3,5,0,55,4,3,3,1438.3,755,683.3,0.62,4222,75,0.744,0.525
789588933,0,44,0,2,2,1,2,0,37,1,1,1,1787.0,0,1787.0,0.609,3912,79,0.975,0.0
713438358,0,41,1,4,2,1,5,0,30,3,1,2,5417.0,1904,3513.0,0.496,1768,56,0.556,0.351
710822808,0,51,0,0,0,2,3,0,33,1,3,1,34516.0,1228,33288.0,0.747,7854,89,0.648,0.036
720589008,0,47,1,3,1,3,5,0,38,1,3,2,4072.0,1594,2478.0,0.678,4317,83,0.886,0.391
819997983,0,53,0,5,6,1,3,0,48,6,1,0,9517.0,1869,7648.0,0.821,1453,26,0.857,0.196
715234008,0,54,1,1,3,2,1,0,36,6,3,3,4717.0,1590,3127.0,0.802,4216,67,0.595,0.337
709910733,0,49,1,4,3,2,5,3,30,2,3,2,34516.0,1963,32553.0,0.758,13174,86,0.792,0.057
779562633,0,45,0,2,5,1,1,0,34,3,2,1,5771.0,2248,3523.0,1.791,1387,18,0.8,0.39
